Period,Intensity,AvgBPM,Temperature
1403,183,85.0,31.07
1118,181,85.0,31.07
702,288,85.0,31.07
598,183,37.56,31.07
702,358,0.0,31.07
702,266,0.0,31.02
598,186,0.0,31.02
676,387,0.0,31.02
572,186,16.22,31.02
683,342,95.0,30.76
546,178,95.0,30.76
702,392,95.0,30.76
546,179,95.0,30.76
1222,175,93.5,30.76
267,290,89.0,30.66
442,455,91.06,30.66
598,185,92.0,30.66
650,243,92.0,30.66
572,186,92.0,30.66
267,290,92.0,30.66
442,455,92.0,30.66
598,185,92.0,30.66
650,243,92.0,30.66
572,186,92.0,30.66
682,358,92.0,30.87
546,185,92.0,30.87
650,203,92.0,30.87
598,198,93.53,30.87
676,379,98.0,30.87
553,185,98.0,30.66
728,357,98.0,30.66
2470,201,98.44,30.66
624,196,99.0,30.66
468,182,99.0,30.66
605,196,99.0,30.45
468,187,99.0,30.45
572,196,95.29,30.45
468,193,93.0,30.45
572,189,93.0,30.45
423,185,93.0,30.45
598,198,93.0,30.45
416,204,93.0,30.45
572,289,93.0,30.45
416,187,96.33,30.45
630,602,97.0,30.5
390,218,97.0,30.5
572,264,97.0,30.5
416,183,97.0,30.5
572,193,97.0,30.5
259,192,97.0,30.19
650,200,95.89,30.35
468,221,95.0,30.35
546,184,95.0,30.35
390,340,95.0,30.35
494,321,95.0,30.35
345,352,95.0,30.14
494,198,95.0,30.14
312,237,95.0,30.14
572,668,95.0,30.14
286,379,95.0,30.14
527,214,95.0,30.19
312,374,95.0,30.19
546,350,95.0,30.19
338,380,95.0,30.19
494,234,95.0,30.19
346,209,95.0,30.35
520,246,25.0,30.35
